CustomerID,Age,Tenure,Usage Frequency,Support Calls,Payment Delay,Total Spend,Last Interaction,Churn,Gender_Male,Subscription Type_Premium,Subscription Type_Standard,Contract Length_Monthly,Contract Length_Quarterly
2,30,39,14.0,5,18.0,932.0,17,1.0,0,0,1,0,0
3,65,49,1.0,10,8.0,557.0,6,1.0,0,0,0,1,0
4,55,14,4.0,6,18.0,185.0,3,1.0,0,0,0,0,1
5,58,38,21.0,7,7.0,396.0,29,1.0,1,0,1,1,0
6,23,32,20.0,5,8.0,617.0,20,1.0,1,0,0,1,0
8,51,33,25.0,9,26.0,129.0,8,1.0,1,1,0,0,0
9,58,49,12.0,3,16.0,821.0,24,1.0,0,0,1,0,1
10,55,37,8.0,4,15.0,445.0,30,1.0,0,1,0,0,0
11,39,12,5.0,7,4.0,969.0,13,1.0,1,0,1,0,1
12,64,3,25.0,2,11.0,415.0,29,1.0,0,0,1,0,1
13,29,18,9.0,0,30.0,930.0,18,1.0,1,1,0,0,1
14,52,21,6.0,3,26.0,830.0,19,1.0,0,1,0,1,0
15,22,41,17.0,10,25.0,265.0,23,1.0,1,0,0,0,1
16,48,35,25.0,1,13.0,518.0,17,1.0,0,0,0,0,0
17,24,4,9.0,4,22.0,204.0,4,1.0,1,0,1,0,1
18,49,56,17.0,2,30.0,975.0,17,1.0,1,0,1,0,1
19,19,38,23.0,7,11.0,978.0,3,1.0,0,0,0,0,1
20,47,41,14.0,1,5.0,151.0,19,1.0,1,1,0,0,0
21,24,44,13.0,5,4.0,669.0,13,1.0,1,1,0,1,0
22,42,15,16.0,2,14.0,262.0,16,1.0,1,1,0,0,1
23,57,55,27.0,3,3.0,212.0,10,1.0,0,0,0,0,0
24,39,43,2.0,4,15.0,577.0,6,1.0,0,0,0,1,0
25,27,44,28.0,8,18.0,436.0,30,1.0,1,0,1,0,0
26,27,52,8.0,7,3.0,434.0,19,1.0,0,0,1,1,0
27,59,26,21.0,0,10.0,822.0,17,1.0,1,1,0,1,0
28,21,2,21.0,7,22.0,435.0,21,1.0,1,0,0,0,0
29,60,18,16.0,8,28.0,830.0,22,1.0,0,0,0,0,1
30,65,29,29.0,0,5.0,857.0,18,1.0,0,1,0,0,0
31,35,38,20.0,6,2.0,574.0,19,1.0,0,1,0,0,0
32,18,37,15.0,8,6.0,800.0,29,1.0,1,1,0,1,0
33,56,59,5.0,10,27.0,424.0,2,1.0,0,0,1,0,1
35,35,40,27.0,8,28.0,232.0,17,1.0,1,1,0,1,0
36,29,43,12.0,2,10.0,289.0,6,1.0,1,1,0,0,0
37,20,37,24.0,7,5.0,371.0,20,1.0,1,0,1,0,0
38,63,51,3.0,5,12.0,288.0,15,1.0,0,0,1,0,0
39,22,39,8.0,2,4.0,939.0,21,1.0,0,0,1,0,0
40,25,53,2.0,10,13.0,336.0,13,1.0,0,0,0,0,1
42,28,24,24.0,8,6.0,572.0,28,1.0,1,0,1,1,0
43,51,30,4.0,10,29.0,770.0,23,1.0,1,1,0,1,0
44,32,6,22.0,3,12.0,413.0,20,1.0,1,0,0,1,0
45,38,28,23.0,6,17.0,993.0,28,1.0,0,0,0,0,1
46,52,17,26.0,4,6.0,871.0,26,1.0,1,0,0,1,0
48,37,30,30.0,7,13.0,929.0,13,1.0,1,0,0,0,1
49,31,4,29.0,7,22.0,488.0,6,1.0,0,0,1,0,0
50,30,24,7.0,6,13.0,874.0,3,1.0,1,0,1,0,0
51,23,26,21.0,7,24.0,988.0,20,1.0,0,0,0,0,1
