Age,Churn,Contract Length_Monthly,Contract Length_Quarterly,CustomerID,Gender_Male,Last Interaction,Payment Delay,Subscription Type_Premium,Subscription Type_Standard,Support Calls,Tenure,Total Spend,Usage Frequency
59,1.0,1,0,90619,0,13,21.0,0,0,0,40,244.0,16.0
24,1.0,0,1,90621,1,15,28.0,1,0,6,24,965.0,24.0
26,1.0,0,0,90623,1,18,27.0,1,0,8,42,231.0,11.0
31,1.0,0,1,90624,0,26,20.0,0,1,8,34,665.0,2.0
41,1.0,0,0,90625,0,4,6.0,1,0,0,55,166.0,2.0
30,1.0,0,1,90626,0,10,27.0,0,1,6,44,238.0,14.0
41,1.0,1,0,90627,1,13,1.0,0,1,1,7,497.0,10.0
30,1.0,0,1,90628,0,4,1.0,1,0,8,26,870.0,28.0
23,1.0,0,0,90629,0,5,26.0,0,1,4,8,530.0,28.0
22,1.0,0,1,90630,0,2,11.0,0,1,10,57,195.0,7.0
21,1.0,0,0,90631,1,26,28.0,0,1,6,59,311.0,20.0
25,1.0,0,1,90632,1,18,28.0,0,0,1,24,848.0,1.0
23,1.0,1,0,90633,1,12,22.0,0,1,9,11,417.0,18.0
61,1.0,1,0,90634,1,23,21.0,1,0,2,13,587.0,8.0
31,1.0,0,0,90635,1,17,25.0,0,0,9,43,921.0,29.0
46,1.0,1,0,90636,0,15,1.0,1,0,5,14,731.0,4.0
62,1.0,0,0,90637,0,18,5.0,0,1,0,40,290.0,19.0
47,1.0,1,0,90638,0,15,29.0,0,1,5,22,956.0,22.0
56,1.0,0,1,90639,0,10,28.0,1,0,3,40,667.0,11.0
60,1.0,0,0,90640,0,24,2.0,0,0,6,7,924.0,15.0
32,1.0,0,1,90641,0,18,26.0,0,1,2,6,347.0,10.0
18,1.0,1,0,90642,0,15,20.0,0,1,2,40,518.0,23.0
37,1.0,0,1,90643,0,4,19.0,0,1,9,1,539.0,2.0
28,1.0,0,0,90644,1,9,30.0,0,0,0,53,167.0,18.0
32,1.0,0,1,90645,0,21,21.0,1,0,3,11,658.0,24.0
26,1.0,0,1,90646,1,22,29.0,0,0,4,22,793.0,25.0
59,1.0,0,0,90647,0,27,15.0,0,0,4,36,226.0,6.0
24,1.0,0,0,90648,0,8,11.0,0,1,7,23,397.0,10.0
52,1.0,1,0,90649,1,22,9.0,0,0,9,19,768.0,21.0
27,1.0,1,0,90650,1,24,9.0,1,0,0,7,551.0,4.0
58,1.0,1,0,90651,1,21,24.0,1,0,1,24,366.0,24.0
25,1.0,0,0,90652,1,10,28.0,0,1,1,2,260.0,19.0
25,1.0,1,0,90653,1,11,2.0,0,1,1,58,326.0,20.0
26,1.0,1,0,90654,0,28,25.0,0,1,4,46,512.0,23.0
38,1.0,1,0,90655,1,28,6.0,0,1,6,21,687.0,6.0
31,1.0,1,0,90656,0,30,15.0,0,0,2,28,911.0,15.0
22,1.0,0,1,90657,0,6,26.0,1,0,9,4,172.0,12.0
42,1.0,1,0,90658,1,27,23.0,0,0,6,59,531.0,15.0
44,1.0,0,0,90660,1,26,9.0,1,0,8,34,230.0,25.0
23,1.0,0,0,90661,1,3,9.0,0,0,0,40,343.0,30.0
59,1.0,1,0,90662,0,8,27.0,0,0,6,16,740.0,9.0
65,1.0,0,1,90663,1,10,6.0,0,0,0,16,410.0,10.0
59,1.0,1,0,90664,1,7,14.0,0,1,4,47,225.0,3.0
19,1.0,0,0,90665,1,16,30.0,1,0,2,26,411.0,13.0
48,1.0,1,0,90667,0,24,3.0,1,0,8,28,422.0,11.0
63,1.0,0,0,90668,0,14,23.0,0,1,3,22,407.0,29.0
36,1.0,0,0,90669,0,22,7.0,1,0,8,42,157.0,13.0
22,1.0,1,0,90670,0,27,13.0,1,0,0,56,399.0,25.0
44,1.0,0,0,90671,0,24,15.0,0,1,4,2,729.0,21.0
39,1.0,0,1,90672,0,27,30.0,1,0,4,17,991.0,12.0
65,1.0,0,1,90673,1,20,28.0,1,0,6,44,842.0,15.0
62,1.0,0,1,90674,1,30,12.0,1,0,10,49,620.0,15.0
61,1.0,0,0,90675,1,24,27.0,0,1,4,36,472.0,18.0
25,1.0,1,0,90676,0,11,28.0,0,1,1,40,973.0,15.0
52,1.0,1,0,90677,0,17,3.0,0,1,4,42,411.0,20.0
59,1.0,0,1,90678,0,4,17.0,0,1,5,24,230.0,11.0
48,1.0,0,1,90679,0,23,20.0,0,1,10,18,689.0,30.0
46,1.0,1,0,90680,0,25,29.0,1,0,6,50,176.0,11.0
59,1.0,0,0,90681,0,10,25.0,0,1,6,2,657.0,18.0
39,1.0,0,1,90682,1,18,28.0,1,0,1,51,163.0,26.0
63,1.0,0,1,90683,1,4,0.0,0,1,0,32,362.0,1.0
46,1.0,0,1,90684,0,18,15.0,0,1,1,28,339.0,2.0
65,1.0,1,0,90685,1,12,15.0,0,0,7,44,857.0,10.0
35,1.0,0,1,90686,1,26,19.0,0,1,3,58,243.0,2.0
40,1.0,1,0,90687,0,7,8.0,0,1,4,7,907.0,4.0
33,1.0,1,0,90688,1,25,19.0,0,1,8,47,108.0,1.0
38,1.0,1,0,90689,1,15,0.0,0,1,0,20,502.0,19.0
36,1.0,1,0,90690,0,9,18.0,0,1,9,4,480.0,19.0
62,1.0,0,0,90691,0,29,28.0,0,0,0,27,348.0,18.0
49,1.0,0,1,90692,0,26,22.0,1,0,7,55,122.0,20.0
23,1.0,0,1,90693,1,10,7.0,0,0,8,45,439.0,4.0
24,1.0,1,0,90694,0,13,6.0,0,1,1,56,985.0,22.0
47,1.0,0,1,90695,1,6,19.0,0,1,9,57,331.0,8.0
57,1.0,0,0,90696,0,28,15.0,0,0,2,27,445.0,9.0
58,1.0,1,0,90697,1,12,6.0,1,0,10,11,588.0,15.0
18,1.0,0,1,90698,0,18,20.0,0,0,5,33,370.0,13.0
45,1.0,1,0,90699,0,19,25.0,0,1,10,8,242.0,30.0
64,1.0,1,0,90700,0,7,10.0,1,0,2,4,827.0,20.0
34,1.0,0,1,90702,0,26,1.0,1,0,9,22,588.0,22.0
57,1.0,1,0,90703,0,21,24.0,1,0,8,49,347.0,11.0
41,1.0,1,0,90704,0,27,14.0,1,0,5,56,699.0,13.0
29,1.0,1,0,90705,0,15,5.0,1,0,1,37,895.0,16.0
47,1.0,1,0,90706,1,10,19.0,1,0,7,17,734.0,23.0
52,1.0,0,1,90707,1,29,3.0,1,0,0,10,953.0,12.0
46,1.0,0,0,90708,0,1,13.0,0,0,9,43,886.0,11.0
32,1.0,1,0,90709,0,1,8.0,0,1,8,56,384.0,6.0
20,1.0,1,0,90710,0,22,9.0,1,0,0,17,783.0,9.0
56,1.0,0,1,90711,1,11,18.0,1,0,4,53,119.0,22.0
64,1.0,1,0,90712,0,17,6.0,1,0,6,43,378.0,4.0
50,1.0,0,0,90713,0,27,14.0,0,1,0,59,941.0,14.0
23,1.0,0,1,90714,1,20,20.0,0,1,0,6,202.0,7.0
60,1.0,1,0,90715,1,20,13.0,1,0,10,7,526.0,6.0
48,1.0,0,0,90716,1,2,20.0,1,0,5,9,241.0,11.0
23,1.0,0,0,90717,1,6,12.0,0,0,8,8,989.0,25.0
37,1.0,1,0,90718,1,28,11.0,1,0,3,28,593.0,25.0
38,1.0,0,0,90719,1,19,3.0,0,1,9,37,883.0,16.0
40,1.0,0,1,90721,1,1,18.0,0,0,4,2,625.0,10.0
64,1.0,0,0,90722,0,18,29.0,1,0,6,36,341.0,26.0
23,1.0,0,1,90723,1,27,24.0,0,0,3,42,499.0,19.0
43,1.0,1,0,90724,1,15,25.0,0,1,8,40,545.0,15.0
21,1.0,1,0,90725,0,13,1.0,0,0,0,5,557.0,26.0
61,1.0,0,1,90726,1,25,30.0,1,0,4,46,684.0,10.0
61,1.0,0,1,90727,0,3,4.0,1,0,6,11,430.0,6.0
64,1.0,1,0,90728,0,10,18.0,0,1,6,27,390.0,24.0
53,1.0,1,0,90729,1,24,21.0,0,0,2,32,324.0,10.0
41,1.0,0,1,90730,1,15,8.0,1,0,6,10,676.0,8.0
47,1.0,1,0,90731,1,5,23.0,0,0,2,38,198.0,7.0
39,1.0,0,0,90733,0,6,21.0,0,0,4,12,346.0,4.0
22,1.0,0,1,90734,1,1,15.0,0,1,4,3,821.0,25.0
43,1.0,0,0,90735,0,10,29.0,0,1,7,6,868.0,18.0
32,1.0,0,0,90736,1,3,6.0,1,0,4,18,676.0,27.0
33,1.0,1,0,90737,1,5,21.0,1,0,8,54,372.0,21.0
