CustomerID,Age,Tenure,Usage Frequency,Support Calls,Payment Delay,Total Spend,Last Interaction,Churn,Gender_Male,Subscription Type_Premium,Subscription Type_Standard,Contract Length_Quarterly
360762,50,16,11.0,5,1.0,503.7,21,0.0,1,1,0,1
360763,35,39,8.0,2,17.0,609.63,14,0.0,0,0,1,0
360764,31,4,23.0,2,13.0,852.53,15,0.0,0,1,0,0
360765,48,49,30.0,4,16.0,891.52,23,0.0,1,0,1,0
360766,32,54,18.0,0,13.0,972.85,9,0.0,1,0,1,0
360767,50,12,21.0,4,17.0,701.05,2,0.0,0,1,0,1
360768,43,42,22.0,1,1.0,529.44,16,0.0,1,0,0,1
360769,28,42,11.0,2,0.0,789.19,22,0.0,1,1,0,0
360770,28,56,17.0,0,2.0,856.2,18,0.0,1,1,0,1
360771,43,9,1.0,3,9.0,875.77,5,0.0,1,0,1,0
360772,44,9,2.0,2,7.0,806.1,11,0.0,0,1,0,0
360773,42,58,17.0,0,10.0,823.47,23,0.0,1,1,0,0
360774,41,57,26.0,3,17.0,946.88,9,0.0,1,0,1,1
360775,24,20,19.0,0,10.0,726.37,10,0.0,0,0,0,1
360776,37,19,28.0,1,17.0,965.99,18,0.0,1,0,1,0
360777,48,45,10.0,4,19.0,626.97,7,0.0,1,0,0,0
360778,45,35,10.0,2,0.0,698.65,24,0.0,1,0,1,1
360779,42,30,5.0,3,19.0,686.61,1,0.0,1,0,1,0
360780,34,40,29.0,0,12.0,549.86,19,0.0,1,0,1,0
360781,25,56,14.0,2,19.0,959.33,12,0.0,0,0,0,1
360782,35,40,28.0,2,1.0,612.59,2,0.0,0,0,0,0
360783,50,16,20.0,1,8.0,535.05,8,0.0,1,1,0,0
360784,33,48,16.0,3,4.0,826.5,20,0.0,1,0,0,1
360785,50,49,9.0,2,10.0,810.98,24,0.0,1,1,0,1
360786,46,28,23.0,3,2.0,516.64,20,0.0,1,0,1,1
360787,33,13,11.0,0,1.0,893.77,5,0.0,0,1,0,0
360788,49,54,23.0,0,15.0,608.93,9,0.0,0,0,1,1
360789,21,22,26.0,1,2.0,553.55,3,0.0,1,1,0,1
360790,44,35,26.0,0,8.0,769.94,24,0.0,1,0,1,0
360791,38,2,30.0,3,4.0,631.02,11,0.0,1,1,0,1
360792,42,7,9.0,0,1.0,595.33,24,0.0,1,0,0,1
360793,44,4,28.0,3,13.0,916.49,12,0.0,1,0,1,1
360794,19,43,21.0,1,1.0,623.02,4,0.0,1,1,0,0
360795,42,51,7.0,1,1.0,925.58,13,0.0,1,1,0,1
360796,37,49,19.0,1,11.0,713.3,6,0.0,1,0,1,0
360797,42,31,30.0,2,8.0,848.37,28,0.0,1,1,0,1
360798,32,1,24.0,2,5.0,593.19,8,0.0,1,1,0,0
360799,29,50,26.0,2,8.0,521.85,12,0.0,1,0,1,1
360800,47,49,27.0,4,16.0,755.83,10,0.0,0,1,0,1
360801,50,39,8.0,1,9.0,701.9,18,0.0,1,1,0,1
360802,20,45,1.0,2,3.0,776.33,2,0.0,0,0,0,1
360803,37,5,9.0,0,3.0,533.16,1,0.0,0,1,0,1
360804,25,58,24.0,1,17.0,520.11,11,0.0,0,0,0,1
360805,50,44,3.0,3,15.0,670.08,5,0.0,1,0,0,1
360806,27,4,29.0,2,8.0,508.51,26,0.0,1,1,0,0
360807,47,41,20.0,0,20.0,629.57,16,0.0,1,0,0,0
360808,48,30,14.0,2,15.0,692.89,1,0.0,0,1,0,0
360809,31,5,5.0,2,20.0,513.18,9,0.0,1,1,0,0
360810,49,26,11.0,2,13.0,750.93,6,0.0,0,1,0,1
360811,26,26,28.0,1,3.0,625.84,4,0.0,0,0,0,1
360812,38,9,1.0,3,20.0,782.56,2,0.0,1,0,1,0
360813,47,26,25.0,0,2.0,923.48,19,0.0,1,0,1,0
360814,44,48,22.0,3,1.0,744.52,24,0.0,1,1,0,1
360815,46,51,16.0,4,1.0,734.54,2,0.0,0,0,0,1
360816,37,13,27.0,0,11.0,612.62,14,0.0,1,0,0,0
360817,46,31,2.0,2,10.0,734.84,19,0.0,1,0,0,1
360818,30,38,11.0,1,9.0,668.95,14,0.0,1,0,1,1
360819,34,25,19.0,2,11.0,550.83,8,0.0,1,0,1,1
360820,47,30,9.0,3,0.0,811.66,10,0.0,1,0,1,1
360821,30,51,28.0,0,2.0,926.43,2,0.0,1,1,0,1
360822,34,59,18.0,0,18.0,946.94,11,0.0,0,0,0,1
360823,43,47,25.0,1,5.0,741.32,10,0.0,0,0,0,0
360824,30,47,10.0,3,12.0,943.21,26,0.0,1,1,0,1
360825,44,9,14.0,4,16.0,951.6,16,0.0,1,1,0,1
360826,41,19,24.0,2,17.0,986.4,2,0.0,1,0,1,0
360827,42,51,16.0,1,11.0,842.16,1,0.0,0,0,1,1
360828,40,30,24.0,1,12.0,527.43,8,0.0,1,1,0,1
360829,36,18,30.0,1,4.0,590.76,1,0.0,1,1,0,0
360830,48,54,21.0,3,1.0,970.6,8,0.0,0,1,0,1
360831,18,44,20.0,1,5.0,709.54,4,0.0,0,0,0,1
360832,40,18,19.0,3,2.0,587.11,10,0.0,0,0,0,1
360833,48,18,27.0,2,13.0,507.66,24,0.0,1,0,0,0
360834,44,37,15.0,3,12.0,749.08,12,0.0,1,1,0,1
360835,27,48,1.0,1,5.0,674.52,25,0.0,1,0,1,0
360836,44,12,13.0,0,14.0,514.87,10,0.0,0,1,0,1
360837,36,38,23.0,3,17.0,527.99,5,0.0,1,1,0,0
360838,43,31,22.0,0,2.0,564.32,9,0.0,0,0,0,1
360839,47,3,20.0,0,18.0,614.47,16,0.0,1,0,1,1
360840,48,5,19.0,3,17.0,788.96,6,0.0,0,1,0,1
360841,40,2,7.0,3,9.0,606.74,13,0.0,1,0,1,0
360842,18,53,18.0,0,17.0,808.88,28,0.0,1,0,0,1
360843,30,39,13.0,1,11.0,536.83,7,0.0,0,0,1,1
360844,48,49,16.0,2,7.0,972.58,12,0.0,1,0,1,1
360845,30,41,3.0,1,7.0,968.52,25,0.0,1,1,0,1
