Age,Churn,Contract Length_Monthly,Contract Length_Quarterly,CustomerID,Gender_Male,Last Interaction,Payment Delay,Subscription Type_Premium,Subscription Type_Standard,Support Calls,Tenure,Total Spend,Usage Frequency,Tenure_Age_Ratio,Spend_per_Usage,Support_Calls_per_Tenure
40,1.0,0,0,226127,1,27,19.0,0,0,9,52,547.27,27.0,1.2682926829268293,19.545357142857142,0.16981132075471697
27,1.0,1,0,226128,1,17,16.0,0,0,5,48,135.89,9.0,1.7142857142857142,13.588999999999999,0.10204081632653061
18,1.0,1,0,226130,1,4,6.0,1,0,4,11,278.84,12.0,0.5789473684210527,21.449230769230766,0.3333333333333333
32,1.0,0,1,226131,0,19,27.0,0,1,1,24,284.61,23.0,0.7272727272727273,11.85875,0.04
65,1.0,0,0,226132,1,12,16.0,1,0,1,52,568.7,22.0,0.7878787878787878,24.72608695652174,0.018867924528301886
21,1.0,0,1,226133,1,5,28.0,0,0,3,15,921.28,26.0,0.6818181818181818,34.12148148148148,0.1875
54,1.0,1,0,226134,1,29,20.0,0,0,0,4,898.69,7.0,0.07272727272727272,112.33625,0.0
54,1.0,1,0,226136,0,7,17.0,0,1,0,11,327.41,28.0,0.2,11.290000000000001,0.0
36,1.0,1,0,226137,1,16,13.0,0,0,5,18,900.48,29.0,0.4864864864864865,30.016000000000002,0.2631578947368421
27,1.0,0,0,226138,0,2,4.0,0,0,9,58,932.91,15.0,2.0714285714285716,58.306875,0.15254237288135594
45,1.0,1,0,226139,1,1,26.0,0,0,7,35,446.94,25.0,0.7608695652173914,17.19,0.19444444444444445
31,1.0,0,1,226140,1,28,14.0,1,0,9,7,122.7,16.0,0.21875,7.2176470588235295,1.125
56,1.0,1,0,226142,1,23,12.0,0,0,9,42,938.29,25.0,0.7368421052631579,36.08807692307692,0.20930232558139536
54,1.0,0,0,226143,1,11,2.0,0,0,3,13,952.83,23.0,0.23636363636363636,39.70125,0.21428571428571427
26,1.0,0,0,226144,0,18,12.0,0,1,7,3,383.9,6.0,0.1111111111111111,54.84285714285714,1.75
29,1.0,0,0,226145,0,28,6.0,0,0,5,30,701.75,13.0,1.0,50.125,0.16129032258064516
18,1.0,1,0,226146,0,15,19.0,1,0,6,32,625.12,22.0,1.6842105263157894,27.17913043478261,0.18181818181818182
41,1.0,1,0,226147,0,27,27.0,1,0,3,40,876.38,23.0,0.9523809523809523,36.51583333333333,0.07317073170731707
56,1.0,0,0,226148,0,25,20.0,0,1,5,30,185.77,21.0,0.5263157894736842,8.44409090909091,0.16129032258064516
62,1.0,1,0,226149,0,26,10.0,0,0,2,55,168.0,4.0,0.873015873015873,33.6,0.03571428571428571
46,1.0,0,0,226150,1,30,30.0,0,1,6,46,215.8,1.0,0.9787234042553191,107.9,0.1276595744680851
51,1.0,0,0,226151,0,23,0.0,1,0,10,56,604.07,18.0,1.0769230769230769,31.793157894736844,0.17543859649122806
49,1.0,1,0,226152,1,23,11.0,1,0,8,50,570.18,7.0,1.0,71.2725,0.1568627450980392
36,1.0,0,1,226153,1,18,7.0,0,1,8,26,526.85,10.0,0.7027027027027027,47.89545454545455,0.2962962962962963
65,1.0,0,1,226154,0,16,10.0,0,0,4,32,431.64,17.0,0.48484848484848486,23.98,0.12121212121212122
32,1.0,0,1,226155,0,30,7.0,0,0,9,46,665.14,19.0,1.393939393939394,33.257,0.19148936170212766
39,1.0,0,0,226156,0,20,24.0,0,1,10,31,191.47,26.0,0.775,7.091481481481481,0.3125
40,1.0,1,0,226157,0,6,5.0,1,0,6,47,588.43,11.0,1.146341463414634,49.03583333333333,0.125
51,1.0,0,0,226158,0,12,20.0,1,0,5,22,651.77,4.0,0.4230769230769231,130.35399999999998,0.21739130434782608
50,1.0,0,0,226159,0,29,11.0,1,0,6,46,308.63,28.0,0.9019607843137255,10.642413793103447,0.1276595744680851
29,1.0,0,0,226160,1,29,6.0,1,0,6,14,721.47,30.0,0.4666666666666667,23.273225806451613,0.4
40,1.0,0,1,226161,1,28,20.0,0,0,9,32,415.88,29.0,0.7804878048780488,13.862666666666666,0.2727272727272727
61,1.0,0,1,226162,0,21,10.0,0,1,4,27,791.67,28.0,0.43548387096774194,27.298965517241378,0.14285714285714285
62,1.0,0,0,226163,0,6,12.0,0,1,6,28,325.12,2.0,0.4444444444444444,108.37333333333333,0.20689655172413793
34,1.0,1,0,226164,0,9,27.0,0,1,6,43,234.66,21.0,1.2285714285714286,10.666363636363636,0.13636363636363635
54,1.0,0,0,226165,0,25,24.0,1,0,5,1,597.61,30.0,0.01818181818181818,19.27774193548387,2.5
39,1.0,1,0,226166,0,17,9.0,0,1,1,28,922.38,5.0,0.7,153.73,0.034482758620689655
37,1.0,0,1,226167,0,7,1.0,0,1,5,53,106.8,4.0,1.394736842105263,21.36,0.09259259259259259
31,1.0,1,0,226168,1,30,26.0,1,0,8,15,662.22,1.0,0.46875,331.11,0.5
32,1.0,0,0,226169,0,21,7.0,1,0,7,29,933.66,29.0,0.8787878787878788,31.122,0.23333333333333334
59,1.0,0,1,226171,1,30,16.0,0,1,7,47,354.26,18.0,0.7833333333333333,18.645263157894735,0.14583333333333334
32,1.0,0,0,226175,1,10,1.0,1,0,5,55,996.7,6.0,1.6666666666666667,142.3857142857143,0.08928571428571429
32,1.0,0,1,226177,1,24,9.0,0,0,10,12,122.28,6.0,0.36363636363636365,17.46857142857143,0.7692307692307693
63,1.0,1,0,226178,0,8,10.0,0,1,8,41,736.22,27.0,0.640625,26.29357142857143,0.19047619047619047
46,1.0,0,1,226179,1,24,28.0,0,0,1,47,171.92,26.0,1.0,6.3674074074074065,0.020833333333333332
65,1.0,1,0,226180,1,9,16.0,1,0,8,31,792.45,20.0,0.4696969696969697,37.73571428571429,0.25
43,1.0,0,0,226181,0,17,25.0,0,1,5,54,440.35,2.0,1.2272727272727273,146.78333333333333,0.09090909090909091
45,1.0,0,1,226182,1,12,17.0,0,0,4,27,170.38,5.0,0.5869565217391305,28.396666666666665,0.14285714285714285
28,1.0,0,1,226183,0,19,20.0,0,1,7,9,604.85,21.0,0.3103448275862069,27.49318181818182,0.7
26,1.0,0,1,226184,0,25,16.0,0,0,8,20,535.04,17.0,0.7407407407407407,29.724444444444444,0.38095238095238093
51,1.0,1,0,226185,1,18,21.0,1,0,3,51,753.04,13.0,0.9807692307692307,53.78857142857142,0.057692307692307696
24,1.0,0,1,226186,1,28,1.0,0,1,7,35,137.75,8.0,1.4,15.305555555555555,0.19444444444444445
20,1.0,0,1,226187,0,30,16.0,0,0,5,49,446.77,1.0,2.3333333333333335,223.385,0.1
42,1.0,1,0,226188,0,28,24.0,0,0,2,31,827.04,5.0,0.7209302325581395,137.84,0.0625
32,1.0,1,0,226189,0,1,1.0,0,0,7,58,429.97,1.0,1.7575757575757576,214.985,0.11864406779661017
51,1.0,1,0,226190,1,27,6.0,0,0,1,22,688.09,10.0,0.4230769230769231,62.553636363636365,0.043478260869565216
38,1.0,1,0,226191,1,18,12.0,1,0,3,20,391.81,29.0,0.5128205128205128,13.060333333333334,0.14285714285714285
31,1.0,1,0,226192,1,22,6.0,1,0,7,13,208.4,15.0,0.40625,13.025,0.5
32,1.0,0,0,226193,0,22,26.0,1,0,5,20,121.71,20.0,0.6060606060606061,5.795714285714285,0.23809523809523808
37,1.0,0,1,226194,0,12,4.0,0,0,4,46,650.3,9.0,1.2105263157894737,65.03,0.0851063829787234
34,1.0,1,0,226195,1,22,18.0,0,1,8,40,659.56,26.0,1.1428571428571428,24.428148148148146,0.1951219512195122
59,1.0,0,0,226196,0,1,7.0,0,0,9,37,431.7,30.0,0.6166666666666667,13.925806451612903,0.23684210526315788
31,1.0,0,0,226197,0,6,5.0,0,1,7,46,204.23,25.0,1.4375,7.8549999999999995,0.14893617021276595
22,1.0,1,0,226199,0,25,17.0,1,0,0,26,314.85,11.0,1.1304347826086956,26.2375,0.0
44,1.0,1,0,226200,0,1,27.0,0,0,7,57,964.43,21.0,1.2666666666666666,43.83772727272727,0.1206896551724138
48,1.0,0,0,226201,1,14,0.0,1,0,8,34,131.37,27.0,0.6938775510204082,4.6917857142857144,0.22857142857142856
60,1.0,0,1,226202,1,25,12.0,0,1,6,58,421.33,11.0,0.9508196721311475,35.11083333333333,0.1016949152542373
51,1.0,1,0,226203,1,25,9.0,0,0,7,5,962.37,26.0,0.09615384615384616,35.64333333333333,1.1666666666666667
51,1.0,0,1,226204,1,30,19.0,0,1,8,6,192.29,28.0,0.11538461538461539,6.6306896551724135,1.1428571428571428
50,1.0,1,0,226205,0,19,10.0,1,0,0,44,543.28,21.0,0.8627450980392157,24.69454545454545,0.0
47,1.0,0,0,226206,1,20,4.0,1,0,6,1,744.27,6.0,0.020833333333333332,106.32428571428571,3.0
37,1.0,1,0,226207,0,27,27.0,1,0,9,37,297.74,1.0,0.9736842105263158,148.87,0.23684210526315788
37,1.0,0,0,226208,1,7,16.0,0,0,6,18,745.0,25.0,0.47368421052631576,28.653846153846153,0.3157894736842105
21,1.0,0,0,226209,1,19,20.0,0,0,2,1,551.76,4.0,0.045454545454545456,110.352,1.0
22,1.0,1,0,226210,0,19,26.0,0,0,0,30,962.38,2.0,1.3043478260869565,320.79333333333335,0.0
35,1.0,0,1,226211,0,28,9.0,1,0,10,39,788.33,24.0,1.0833333333333333,31.5332,0.25
53,1.0,0,1,226212,1,23,2.0,0,1,5,32,930.98,24.0,0.5925925925925926,37.239200000000004,0.15151515151515152
64,1.0,0,1,226213,1,13,26.0,0,0,3,5,110.16,11.0,0.07692307692307693,9.18,0.5
33,1.0,0,1,226214,1,11,3.0,1,0,6,46,327.02,21.0,1.3529411764705883,14.864545454545453,0.1276595744680851
48,1.0,1,0,226215,1,14,27.0,0,0,5,6,578.34,23.0,0.12244897959183673,24.0975,0.7142857142857143
64,1.0,0,0,226216,0,13,9.0,0,0,3,41,258.53,14.0,0.6307692307692307,17.235333333333333,0.07142857142857142
48,1.0,0,0,226217,1,5,24.0,0,0,9,21,480.65,21.0,0.42857142857142855,21.847727272727273,0.4090909090909091
33,1.0,1,0,226218,0,14,10.0,0,0,9,26,400.95,13.0,0.7647058823529411,28.639285714285712,0.3333333333333333
