CustomerID,Age,Tenure,Usage Frequency,Support Calls,Payment Delay,Total Spend,Last Interaction,Churn,Gender_Male,Subscription Type_Premium,Subscription Type_Standard,Contract Length_Quarterly,Tenure_Age_Ratio,Spend_per_Usage,Support_Calls_per_Tenure
360762,50,16,11.0,5,1.0,503.7,21,0.0,1,1,0,1,0.3137254901960784,41.975,0.29411764705882354
360763,35,39,8.0,2,17.0,609.63,14,0.0,0,0,1,0,1.0833333333333333,67.73666666666666,0.05
360764,31,4,23.0,2,13.0,852.53,15,0.0,0,1,0,0,0.125,35.522083333333335,0.4
360765,48,49,30.0,4,16.0,891.52,23,0.0,1,0,1,0,1.0,28.758709677419354,0.08
360766,32,54,18.0,0,13.0,972.85,9,0.0,1,0,1,0,1.6363636363636365,51.20263157894737,0.0
360767,50,12,21.0,4,17.0,701.05,2,0.0,0,1,0,1,0.23529411764705882,31.86590909090909,0.3076923076923077
360768,43,42,22.0,1,1.0,529.44,16,0.0,1,0,0,1,0.9545454545454546,23.01913043478261,0.023255813953488372
360769,28,42,11.0,2,0.0,789.19,22,0.0,1,1,0,0,1.4482758620689655,65.76583333333333,0.046511627906976744
360770,28,56,17.0,0,2.0,856.2,18,0.0,1,1,0,1,1.9310344827586208,47.56666666666667,0.0
360771,43,9,1.0,3,9.0,875.77,5,0.0,1,0,1,0,0.20454545454545456,437.885,0.3
360772,44,9,2.0,2,7.0,806.1,11,0.0,0,1,0,0,0.2,268.7,0.2
360773,42,58,17.0,0,10.0,823.47,23,0.0,1,1,0,0,1.3488372093023255,45.748333333333335,0.0
360774,41,57,26.0,3,17.0,946.88,9,0.0,1,0,1,1,1.3571428571428572,35.06962962962963,0.05172413793103448
360775,24,20,19.0,0,10.0,726.37,10,0.0,0,0,0,1,0.8,36.3185,0.0
360776,37,19,28.0,1,17.0,965.99,18,0.0,1,0,1,0,0.5,33.31,0.05
360777,48,45,10.0,4,19.0,626.97,7,0.0,1,0,0,0,0.9183673469387755,56.99727272727273,0.08695652173913043
360778,45,35,10.0,2,0.0,698.65,24,0.0,1,0,1,1,0.7608695652173914,63.51363636363636,0.05555555555555555
360779,42,30,5.0,3,19.0,686.61,1,0.0,1,0,1,0,0.6976744186046512,114.435,0.0967741935483871
360780,34,40,29.0,0,12.0,549.86,19,0.0,1,0,1,0,1.1428571428571428,18.328666666666667,0.0
360781,25,56,14.0,2,19.0,959.33,12,0.0,0,0,0,1,2.1538461538461537,63.955333333333336,0.03508771929824561
360782,35,40,28.0,2,1.0,612.59,2,0.0,0,0,0,0,1.1111111111111112,21.12379310344828,0.04878048780487805
360783,50,16,20.0,1,8.0,535.05,8,0.0,1,1,0,0,0.3137254901960784,25.478571428571428,0.058823529411764705
360784,33,48,16.0,3,4.0,826.5,20,0.0,1,0,0,1,1.411764705882353,48.61764705882353,0.061224489795918366
360785,50,49,9.0,2,10.0,810.98,24,0.0,1,1,0,1,0.9607843137254902,81.098,0.04
360786,46,28,23.0,3,2.0,516.64,20,0.0,1,0,1,1,0.5957446808510638,21.526666666666667,0.10344827586206896
360787,33,13,11.0,0,1.0,893.77,5,0.0,0,1,0,0,0.38235294117647056,74.48083333333334,0.0
360788,49,54,23.0,0,15.0,608.93,9,0.0,0,0,1,1,1.08,25.372083333333332,0.0
360789,21,22,26.0,1,2.0,553.55,3,0.0,1,1,0,1,1.0,20.50185185185185,0.043478260869565216
360790,44,35,26.0,0,8.0,769.94,24,0.0,1,0,1,0,0.7777777777777778,28.5162962962963,0.0
360791,38,2,30.0,3,4.0,631.02,11,0.0,1,1,0,1,0.05128205128205128,20.355483870967742,1.0
360792,42,7,9.0,0,1.0,595.33,24,0.0,1,0,0,1,0.16279069767441862,59.533,0.0
360793,44,4,28.0,3,13.0,916.49,12,0.0,1,0,1,1,0.08888888888888889,31.603103448275863,0.6
360794,19,43,21.0,1,1.0,623.02,4,0.0,1,1,0,0,2.15,28.319090909090907,0.022727272727272728
360795,42,51,7.0,1,1.0,925.58,13,0.0,1,1,0,1,1.186046511627907,115.6975,0.019230769230769232
360796,37,49,19.0,1,11.0,713.3,6,0.0,1,0,1,0,1.2894736842105263,35.665,0.02
360797,42,31,30.0,2,8.0,848.37,28,0.0,1,1,0,1,0.7209302325581395,27.366774193548387,0.0625
