CustomerID,Age,Tenure,Usage Frequency,Support Calls,Payment Delay,Total Spend,Last Interaction,Churn,Gender_Male,Subscription Type_Premium,Subscription Type_Standard,Contract Length_Monthly,Contract Length_Quarterly,Tenure_Age_Ratio,Spend_per_Usage,Support_Calls_per_Tenure,Spending_Group,Tenure_Group
259719,30,3,5.0,3,8.0,441.38,10,1.0,1,1,0,1,0,0.0967741935483871,73.56333333333333,0.75,0,0
259720,39,3,5.0,7,30.0,672.4,10,1.0,0,1,0,1,0,0.075,112.06666666666666,1.75,1,0
259721,20,1,27.0,1,29.0,298.75,9,1.0,0,0,1,0,1,0.047619047619047616,10.669642857142858,0.5,0,0
259722,47,24,19.0,5,30.0,533.71,5,1.0,1,1,0,0,0,0.5,26.6855,0.2,0,1
259723,31,47,22.0,9,5.0,903.82,1,1.0,0,1,0,0,0,1.46875,39.296521739130434,0.1875,3,3
259724,20,36,27.0,3,23.0,387.71,10,1.0,1,0,1,0,1,1.7142857142857142,13.846785714285714,0.08108108108108109,0,2
259725,22,35,5.0,9,29.0,549.46,15,1.0,0,0,1,1,0,1.5217391304347827,91.57666666666667,0.25,0,2
259726,64,36,7.0,7,6.0,172.56,2,1.0,1,0,1,0,0,0.5538461538461539,21.57,0.1891891891891892,0,2
259727,65,2,5.0,5,22.0,178.56,8,1.0,0,0,1,0,0,0.030303030303030304,29.76,1.6666666666666667,0,0
259728,65,18,4.0,10,0.0,503.78,23,1.0,1,0,1,0,1,0.2727272727272727,100.756,0.5263157894736842,0,1
259729,22,7,3.0,10,30.0,594.04,10,1.0,1,0,0,0,1,0.30434782608695654,148.51,1.25,0,0
259730,62,26,26.0,9,4.0,172.17,29,1.0,1,1,0,0,1,0.4126984126984127,6.376666666666666,0.3333333333333333,0,2
259731,27,40,24.0,10,12.0,354.67,22,1.0,1,0,0,0,1,1.4285714285714286,14.1868,0.24390243902439024,0,3
259732,47,37,1.0,6,7.0,880.14,4,1.0,1,0,0,0,1,0.7708333333333334,440.07,0.15789473684210525,3,3
259733,37,29,3.0,8,25.0,124.43,20,1.0,0,1,0,0,1,0.7631578947368421,31.1075,0.26666666666666666,0,2
259734,65,24,26.0,2,18.0,748.9,19,1.0,0,1,0,0,0,0.36363636363636365,27.737037037037037,0.08,2,1
259735,42,30,23.0,1,7.0,252.89,15,1.0,1,0,0,0,1,0.6976744186046512,10.537083333333333,0.03225806451612903,0,2
259736,44,41,4.0,2,10.0,172.92,27,1.0,1,0,0,1,0,0.9111111111111111,34.583999999999996,0.047619047619047616,0,3
259737,50,8,6.0,2,6.0,724.03,16,1.0,0,1,0,1,0,0.1568627450980392,103.43285714285715,0.2222222222222222,1,0
259738,49,41,22.0,3,2.0,316.18,18,1.0,1,0,1,1,0,0.82,13.746956521739131,0.07142857142857142,0,3
259739,61,1,30.0,8,0.0,613.89,21,1.0,1,0,0,0,0,0.016129032258064516,19.80290322580645,4.0,0,0
259740,18,39,11.0,9,2.0,825.28,2,1.0,1,1,0,1,0,2.0526315789473686,68.77333333333333,0.225,2,3
259741,50,22,29.0,9,16.0,646.31,11,1.0,0,0,0,1,0,0.43137254901960786,21.543666666666663,0.391304347826087,1,1
259742,32,4,18.0,3,9.0,733.89,14,1.0,0,0,0,0,1,0.12121212121212122,38.62578947368421,0.6,1,0
259743,31,48,2.0,4,9.0,654.7,7,1.0,0,0,1,1,0,1.5,218.23333333333335,0.08163265306122448,1,3
259744,63,60,28.0,4,30.0,822.35,1,1.0,0,1,0,0,0,0.9375,28.356896551724137,0.06557377049180328,2,3
259745,27,12,20.0,4,24.0,510.46,1,1.0,0,1,0,0,1,0.42857142857142855,24.307619047619045,0.3076923076923077,0,0
259746,31,35,26.0,0,8.0,689.08,17,1.0,0,0,1,0,0,1.09375,25.521481481481484,0.0,1,2
259747,45,49,17.0,10,7.0,992.5,14,1.0,0,0,1,0,0,1.065217391304348,55.138888888888886,0.2,3,3
259748,63,14,9.0,10,4.0,638.03,5,1.0,1,1,0,0,1,0.21875,63.803,0.6666666666666666,1,1
259749,63,10,1.0,6,5.0,256.93,18,1.0,0,0,0,1,0,0.15625,128.465,0.5454545454545454,0,0
259750,26,33,20.0,4,29.0,752.02,11,1.0,1,0,0,1,0,1.2222222222222223,35.81047619047619,0.11764705882352941,2,2
259751,59,17,12.0,5,4.0,125.64,29,1.0,1,0,0,0,1,0.2833333333333333,9.664615384615384,0.2777777777777778,0,1
259752,40,32,4.0,5,4.0,332.75,6,1.0,1,0,0,0,0,0.7804878048780488,66.55,0.15151515151515152,0,2
259753,30,56,23.0,1,30.0,892.52,19,1.0,0,0,0,0,0,1.8064516129032258,37.18833333333333,0.017543859649122806,3,3
259754,19,13,10.0,2,12.0,854.57,10,1.0,1,0,0,0,1,0.65,77.68818181818182,0.14285714285714285,2,1
259755,27,26,3.0,7,20.0,871.14,15,1.0,1,0,1,1,0,0.9285714285714286,217.785,0.25925925925925924,2,2
259756,46,43,20.0,4,12.0,437.44,29,1.0,0,0,0,0,0,0.9148936170212766,20.83047619047619,0.09090909090909091,0,3
259757,53,54,18.0,8,23.0,986.05,26,1.0,0,1,0,0,0,1.0,51.897368421052626,0.14545454545454545,3,3
259758,29,47,18.0,8,18.0,836.85,1,1.0,0,0,0,1,0,1.5666666666666667,44.044736842105266,0.16666666666666666,2,3
259759,22,10,2.0,2,3.0,506.68,19,1.0,0,0,0,1,0,0.43478260869565216,168.89333333333335,0.18181818181818182,0,0
259760,38,52,8.0,5,4.0,649.65,15,1.0,0,0,1,0,0,1.3333333333333333,72.18333333333334,0.09433962264150944,1,3
259761,25,51,30.0,9,15.0,189.08,6,1.0,0,0,1,1,0,1.9615384615384615,6.099354838709678,0.17307692307692307,0,3
259762,26,11,4.0,2,12.0,516.08,10,1.0,1,0,0,1,0,0.4074074074074074,103.21600000000001,0.16666666666666666,0,0
259763,22,49,25.0,5,23.0,404.63,19,1.0,0,0,1,0,1,2.130434782608696,15.562692307692307,0.1,0,3
259764,45,11,6.0,1,22.0,135.45,6,1.0,1,1,0,1,0,0.2391304347826087,19.349999999999998,0.08333333333333333,0,0
259765,58,34,12.0,4,16.0,361.69,16,1.0,0,1,0,1,0,0.576271186440678,27.822307692307692,0.11428571428571428,0,2
259766,41,37,6.0,10,15.0,342.86,6,1.0,1,0,1,0,0,0.8809523809523809,48.980000000000004,0.2631578947368421,0,3
259767,44,13,28.0,9,19.0,907.03,14,1.0,1,0,1,0,0,0.28888888888888886,31.276896551724136,0.6428571428571429,3,1
259768,59,54,16.0,2,29.0,163.34,7,1.0,1,0,0,0,1,0.9,9.608235294117648,0.03636363636363636,0,3
259769,42,19,6.0,5,4.0,779.74,6,1.0,1,0,0,0,0,0.4418604651162791,111.39142857142858,0.25,2,1
259770,33,20,21.0,8,7.0,147.74,14,1.0,1,0,0,0,0,0.5882352941176471,6.715454545454546,0.38095238095238093,0,1
259771,25,15,17.0,7,10.0,584.58,26,1.0,0,0,0,0,1,0.5769230769230769,32.47666666666667,0.4375,0,1
259772,60,16,21.0,4,12.0,240.96,17,1.0,0,0,1,0,0,0.26229508196721313,10.952727272727273,0.23529411764705882,0,1
259773,50,10,6.0,9,13.0,543.0,17,1.0,0,0,0,1,0,0.19607843137254902,77.57142857142857,0.8181818181818182,0,0
259774,33,17,18.0,9,22.0,646.02,22,1.0,0,0,0,1,0,0.5,34.00105263157894,0.5,1,1
259775,50,4,10.0,1,4.0,245.36,10,1.0,1,0,0,1,0,0.0784313725490196,22.30545454545455,0.2,0,0
259776,32,29,6.0,9,19.0,282.36,25,1.0,0,0,1,0,0,0.8787878787878788,40.33714285714286,0.3,0,2
259777,23,47,10.0,7,22.0,866.7,3,1.0,1,0,1,0,0,1.9583333333333333,78.7909090909091,0.14583333333333334,2,3
259778,19,48,14.0,10,25.0,471.79,24,1.0,1,1,0,0,0,2.4,31.45266666666667,0.20408163265306123,0,3
259779,52,45,16.0,7,12.0,802.19,7,1.0,0,1,0,0,1,0.8490566037735849,47.18764705882353,0.15217391304347827,2,3
259780,31,41,16.0,4,13.0,396.42,12,1.0,1,0,0,0,1,1.28125,23.318823529411766,0.09523809523809523,0,3
259781,45,5,4.0,9,29.0,358.06,30,1.0,1,0,1,0,0,0.10869565217391304,71.612,1.5,0,0
259782,23,49,22.0,2,3.0,414.72,1,1.0,0,0,0,1,0,2.0416666666666665,18.031304347826087,0.04,0,3
259783,26,37,20.0,9,14.0,878.65,20,1.0,0,0,0,0,0,1.3703703703703705,41.84047619047619,0.23684210526315788,3,3
259784,49,42,14.0,9,8.0,491.19,29,1.0,0,1,0,1,0,0.84,32.746,0.20930232558139536,0,3
259785,53,25,5.0,4,29.0,523.39,1,1.0,0,1,0,1,0,0.46296296296296297,87.23166666666667,0.15384615384615385,0,2
259786,49,22,11.0,10,8.0,316.38,30,1.0,1,1,0,0,1,0.44,26.365,0.43478260869565216,0,1
259787,55,56,21.0,1,17.0,563.98,23,1.0,0,0,0,1,0,1.0,25.635454545454547,0.017543859649122806,0,3
259788,27,46,30.0,3,21.0,560.41,1,1.0,0,1,0,0,1,1.6428571428571428,18.07774193548387,0.06382978723404255,0,3
259789,62,21,17.0,1,1.0,604.16,13,1.0,1,0,0,0,0,0.3333333333333333,33.56444444444444,0.045454545454545456,0,1
259790,47,57,14.0,6,2.0,768.69,18,1.0,0,0,0,0,1,1.1875,51.246,0.10344827586206896,2,3
259791,25,2,18.0,7,9.0,310.72,23,1.0,1,0,1,0,1,0.07692307692307693,16.353684210526318,2.3333333333333335,0,0
259792,49,39,20.0,3,28.0,492.1,16,1.0,0,0,1,0,1,0.78,23.433333333333334,0.075,0,3
259793,43,2,18.0,8,25.0,747.92,18,1.0,1,0,0,0,0,0.045454545454545456,39.36421052631579,2.6666666666666665,1,0
259794,64,6,11.0,8,9.0,704.48,27,1.0,1,0,1,0,0,0.09230769230769231,58.70666666666667,1.1428571428571428,1,0
259795,56,29,5.0,5,12.0,328.15,24,1.0,0,0,0,0,0,0.5087719298245614,54.69166666666666,0.16666666666666666,0,2
259796,25,10,16.0,4,1.0,376.66,13,1.0,1,0,0,0,1,0.38461538461538464,22.156470588235294,0.36363636363636365,0,0
259797,31,7,10.0,7,7.0,289.47,15,1.0,1,1,0,0,1,0.21875,26.315454545454546,0.875,0,0
259798,55,41,9.0,10,7.0,644.43,13,1.0,0,0,1,0,0,0.7321428571428571,64.443,0.23809523809523808,1,3
259799,31,23,15.0,10,15.0,868.9,18,1.0,1,0,0,1,0,0.71875,54.30625,0.4166666666666667,2,1
259800,31,1,10.0,3,15.0,156.32,16,1.0,1,0,1,0,0,0.03125,14.210909090909091,1.5,0,0
259801,27,54,23.0,2,0.0,981.22,16,1.0,0,0,1,1,0,1.9285714285714286,40.884166666666665,0.03636363636363636,3,3
259802,60,50,20.0,8,1.0,748.58,4,1.0,1,1,0,0,0,0.819672131147541,35.64666666666667,0.1568627450980392,2,3
259803,29,59,8.0,9,27.0,974.27,4,1.0,0,1,0,1,0,1.9666666666666666,108.25222222222222,0.15,3,3
259804,41,43,18.0,7,25.0,609.57,16,1.0,1,0,1,0,0,1.0238095238095237,32.08263157894737,0.1590909090909091,0,3
