Age,Churn,Contract Length_Monthly,Contract Length_Quarterly,CustomerID,Gender_Male,Last Interaction,Payment Delay,Subscription Type_Premium,Subscription Type_Standard,Support Calls,Tenure,Total Spend,Usage Frequency,Tenure_Age_Ratio,Spend_per_Usage,Support_Calls_per_Tenure,Spending_Group,Tenure_Group
50,0.0,0,0,271615,1,13,3.0,0,1,3,20,526.46,17.0,0.39215686274509803,29.24777777777778,0.14285714285714285,0,1
25,0.0,0,1,271616,0,3,2.0,0,1,2,52,524.22,7.0,2.0,65.5275,0.03773584905660377,0,3
35,0.0,0,1,271617,0,6,14.0,0,0,3,55,510.42,20.0,1.5277777777777777,24.305714285714288,0.05357142857142857,0,3
32,0.0,0,1,271618,0,14,15.0,0,0,2,15,954.17,30.0,0.45454545454545453,30.779677419354837,0.125,3,1
48,0.0,0,0,271619,1,20,17.0,1,0,2,32,553.73,29.0,0.6530612244897959,18.457666666666668,0.06060606060606061,0,2
37,0.0,0,1,271620,0,1,5.0,0,1,1,45,954.94,18.0,1.1842105263157894,50.260000000000005,0.021739130434782608,3,3
36,0.0,0,1,271621,0,3,7.0,0,1,0,51,632.3,2.0,1.3783783783783783,210.76666666666665,0.0,1,3
45,0.0,0,1,271622,1,30,13.0,0,0,3,32,883.72,3.0,0.6956521739130435,220.93,0.09090909090909091,3,2
49,0.0,0,1,271623,0,5,8.0,0,0,2,27,993.56,10.0,0.54,90.32363636363635,0.07142857142857142,3,2
47,0.0,0,1,271624,1,9,20.0,1,0,4,52,850.01,30.0,1.0833333333333333,27.419677419354837,0.07547169811320754,2,3
29,0.0,0,1,271625,0,3,13.0,0,1,2,36,879.84,1.0,1.2,439.92,0.05405405405405406,3,2
41,0.0,0,0,271626,1,29,4.0,0,1,3,38,657.32,16.0,0.9047619047619048,38.66588235294118,0.07692307692307693,1,3
40,0.0,0,1,271627,1,10,18.0,1,0,4,8,892.96,15.0,0.1951219512195122,55.81,0.4444444444444444,3,0
47,0.0,0,0,271628,1,6,16.0,0,0,1,15,913.76,11.0,0.3125,76.14666666666666,0.0625,3,1
45,0.0,0,1,271629,0,6,2.0,0,1,0,42,583.91,7.0,0.9130434782608695,72.98875,0.0,0,3
25,0.0,0,0,271630,1,20,3.0,1,0,0,7,507.81,14.0,0.2692307692307692,33.854,0.0,0,0
43,0.0,0,0,271631,1,27,14.0,1,0,1,56,931.06,6.0,1.2727272727272727,133.00857142857143,0.017543859649122806,3,3
22,0.0,0,1,271632,1,15,6.0,0,0,1,39,837.3,7.0,1.6956521739130435,104.6625,0.025,2,3
18,0.0,0,1,271633,0,2,9.0,0,0,0,21,824.0,13.0,1.105263157894737,58.857142857142854,0.0,2,1
49,0.0,0,0,271634,0,12,16.0,1,0,4,13,645.85,17.0,0.26,35.88055555555556,0.2857142857142857,1,1
46,0.0,0,0,271635,0,3,13.0,1,0,0,5,860.38,30.0,0.10638297872340426,27.754193548387097,0.0,2,0
23,0.0,0,1,271636,0,3,11.0,0,1,1,42,898.99,26.0,1.75,33.29592592592593,0.023255813953488372,3,3
39,0.0,0,0,271637,0,14,1.0,0,0,1,29,813.08,10.0,0.725,73.91636363636364,0.03333333333333333,2,2
43,0.0,0,0,271638,0,8,20.0,0,1,0,32,947.08,27.0,0.7272727272727273,33.824285714285715,0.0,3,2
30,0.0,0,1,271639,1,23,6.0,1,0,2,4,543.81,23.0,0.12903225806451613,22.658749999999998,0.4,0,0
46,0.0,0,1,271640,1,27,0.0,0,1,4,4,971.27,15.0,0.0851063829787234,60.704375,0.8,3,0
43,0.0,0,1,271641,1,23,0.0,0,1,2,60,919.14,22.0,1.3636363636363635,39.96260869565217,0.03278688524590164,3,3
21,0.0,0,1,271642,1,12,5.0,1,0,0,2,696.05,30.0,0.09090909090909091,22.453225806451613,0.0,1,0
50,0.0,0,1,271643,0,5,3.0,1,0,3,36,538.06,10.0,0.7058823529411765,48.91454545454545,0.08108108108108109,0,2
32,0.0,0,0,271644,1,9,6.0,1,0,1,54,913.02,19.0,1.6363636363636365,45.650999999999996,0.01818181818181818,3,3
35,0.0,0,1,271645,1,15,8.0,1,0,1,56,677.74,23.0,1.5555555555555556,28.239166666666666,0.017543859649122806,1,3
29,0.0,0,0,271646,1,7,2.0,0,1,0,44,692.93,10.0,1.4666666666666666,62.99363636363636,0.0,1,3
20,0.0,0,0,271647,1,18,1.0,1,0,1,6,841.8,1.0,0.2857142857142857,420.9,0.14285714285714285,2,0
39,0.0,0,1,271648,0,11,20.0,0,1,2,29,986.2,15.0,0.725,61.6375,0.06666666666666667,3,2
47,0.0,0,0,271649,0,9,0.0,1,0,3,19,977.17,26.0,0.3958333333333333,36.19148148148148,0.15,3,1
37,0.0,0,1,271650,1,8,8.0,1,0,2,43,586.43,14.0,1.131578947368421,39.09533333333333,0.045454545454545456,0,3
35,0.0,0,0,271651,0,4,11.0,0,1,0,1,615.86,2.0,0.027777777777777776,205.28666666666666,0.0,0,0
49,0.0,0,1,271652,0,14,5.0,0,0,3,23,936.32,28.0,0.46,32.28689655172414,0.125,3,1
43,0.0,0,0,271653,1,10,16.0,0,0,2,45,645.21,1.0,1.0227272727272727,322.605,0.043478260869565216,1,3
21,0.0,0,0,271654,1,16,20.0,0,1,0,6,660.61,7.0,0.2727272727272727,82.57625,0.0,1,0
29,0.0,0,0,271655,0,14,19.0,1,0,0,43,925.22,28.0,1.4333333333333333,31.904137931034484,0.0,3,3
34,0.0,0,1,271656,1,1,3.0,0,1,1,43,776.29,14.0,1.2285714285714286,51.75266666666666,0.022727272727272728,2,3
39,0.0,0,0,271657,0,3,1.0,1,0,0,1,763.4,9.0,0.025,76.34,0.0,2,0
32,0.0,0,1,271658,0,5,8.0,0,0,1,41,861.29,28.0,1.2424242424242424,29.69965517241379,0.023809523809523808,2,3
18,0.0,0,0,271659,1,1,13.0,0,0,0,42,645.11,17.0,2.210526315789474,35.839444444444446,0.0,1,3
25,0.0,0,1,271660,1,15,9.0,0,1,0,9,669.56,15.0,0.34615384615384615,41.8475,0.0,1,0
42,0.0,0,0,271661,1,14,16.0,1,0,3,12,579.13,26.0,0.27906976744186046,21.44925925925926,0.23076923076923078,0,0
43,0.0,0,0,271662,1,24,17.0,0,1,0,35,761.49,29.0,0.7954545454545454,25.383,0.0,2,2
49,0.0,0,1,271663,1,28,7.0,0,0,4,17,548.16,17.0,0.34,30.453333333333333,0.2222222222222222,0,1
47,0.0,0,1,271664,1,19,5.0,1,0,4,51,594.15,29.0,1.0625,19.805,0.07692307692307693,0,3
29,0.0,0,0,271665,1,1,14.0,1,0,2,37,641.04,20.0,1.2333333333333334,30.525714285714283,0.05263157894736842,1,3
37,0.0,0,1,271666,1,23,12.0,1,0,3,16,861.86,23.0,0.42105263157894735,35.910833333333336,0.17647058823529413,2,1
48,0.0,0,1,271667,1,29,9.0,0,0,1,56,744.25,19.0,1.1428571428571428,37.2125,0.017543859649122806,1,3
47,0.0,0,1,271668,1,9,18.0,0,1,0,9,990.3,12.0,0.1875,76.17692307692307,0.0,3,0
25,0.0,0,1,271669,0,14,8.0,0,0,1,30,869.01,9.0,1.1538461538461537,86.901,0.03225806451612903,2,2
46,0.0,0,0,271670,0,3,15.0,1,0,2,5,832.24,15.0,0.10638297872340426,52.015,0.3333333333333333,2,0
35,0.0,0,1,271671,0,11,17.0,1,0,3,7,991.07,15.0,0.19444444444444445,61.941875,0.375,3,0
22,0.0,0,0,271672,1,4,8.0,0,0,1,56,582.86,10.0,2.4347826086956523,52.98727272727273,0.017543859649122806,0,3
40,0.0,0,1,271673,1,6,18.0,0,0,3,53,504.57,20.0,1.2926829268292683,24.027142857142856,0.05555555555555555,0,3
42,0.0,0,1,271674,1,22,11.0,1,0,0,52,717.32,15.0,1.2093023255813953,44.8325,0.0,1,3
49,0.0,0,1,271675,1,6,6.0,0,0,3,38,705.04,25.0,0.76,27.116923076923076,0.07692307692307693,1,3
19,0.0,0,0,271676,1,21,6.0,0,1,1,49,938.92,10.0,2.45,85.35636363636364,0.02,3,3
20,0.0,0,0,271677,1,3,17.0,0,0,0,56,715.78,17.0,2.6666666666666665,39.76555555555555,0.0,1,3
30,0.0,0,1,271678,1,4,7.0,1,0,1,38,863.71,6.0,1.2258064516129032,123.38714285714286,0.02564102564102564,2,3
40,0.0,0,1,271679,0,2,16.0,1,0,3,51,889.68,11.0,1.2439024390243902,74.14,0.057692307692307696,3,3
41,0.0,0,1,271680,1,6,19.0,0,1,1,59,578.75,21.0,1.4047619047619047,26.306818181818183,0.016666666666666666,0,3
42,0.0,0,0,271681,0,13,0.0,0,1,3,44,587.22,8.0,1.0232558139534884,65.24666666666667,0.06666666666666667,0,3
23,0.0,0,0,271682,1,24,10.0,0,1,1,12,603.37,15.0,0.5,37.710625,0.07692307692307693,0,0
46,0.0,0,0,271683,1,2,8.0,0,0,2,34,525.73,1.0,0.723404255319149,262.865,0.05714285714285714,0,2
42,0.0,0,1,271684,1,9,1.0,0,1,0,36,575.83,25.0,0.8372093023255814,22.147307692307695,0.0,0,2
27,0.0,0,1,271685,0,7,3.0,0,1,1,27,947.27,21.0,0.9642857142857143,43.05772727272727,0.03571428571428571,3,2
42,0.0,0,1,271686,1,28,3.0,0,0,0,6,543.19,5.0,0.13953488372093023,90.53166666666668,0.0,0,0
41,0.0,0,0,271687,1,10,9.0,1,0,1,30,928.98,9.0,0.7142857142857143,92.898,0.03225806451612903,3,2
44,0.0,0,0,271688,0,5,14.0,0,1,0,41,986.92,20.0,0.9111111111111111,46.99619047619048,0.0,3,3
