CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
359782.0,32.0,Male,54.0,9.0,3.0,10.0,Premium,Annual,676.42,6.0,0.0
359783.0,32.0,Female,33.0,4.0,1.0,16.0,Basic,Annual,542.49,10.0,0.0
359784.0,44.0,Female,50.0,6.0,3.0,0.0,Basic,Annual,752.78,10.0,0.0
359785.0,37.0,Female,58.0,16.0,0.0,15.0,Basic,Annual,756.25,6.0,0.0
359786.0,45.0,Male,36.0,27.0,2.0,15.0,Standard,Annual,708.55,20.0,0.0
359787.0,45.0,Female,48.0,30.0,3.0,7.0,Standard,Annual,774.26,5.0,0.0
359788.0,41.0,Male,45.0,4.0,2.0,13.0,Basic,Quarterly,504.14,17.0,0.0
359789.0,43.0,Male,52.0,21.0,4.0,9.0,Premium,Quarterly,761.09,1.0,0.0
359790.0,26.0,Female,39.0,21.0,0.0,12.0,Standard,Annual,974.26,11.0,0.0
359791.0,49.0,Male,31.0,10.0,1.0,19.0,Standard,Quarterly,635.21,17.0,0.0
359792.0,25.0,Male,5.0,18.0,2.0,2.0,Premium,Annual,950.44,29.0,0.0
359793.0,35.0,Male,50.0,14.0,2.0,16.0,Premium,Quarterly,653.09,4.0,0.0
359794.0,26.0,Male,56.0,3.0,0.0,15.0,Standard,Quarterly,879.28,11.0,0.0
359795.0,48.0,Female,12.0,15.0,0.0,4.0,Basic,Annual,918.48,1.0,0.0
359796.0,41.0,Male,3.0,15.0,1.0,5.0,Standard,Annual,883.57,13.0,0.0
359797.0,50.0,Male,1.0,21.0,1.0,13.0,Premium,Quarterly,860.52,28.0,0.0
359798.0,24.0,Male,49.0,27.0,1.0,19.0,Basic,Quarterly,832.97,25.0,0.0
359799.0,32.0,Female,46.0,10.0,1.0,16.0,Basic,Annual,623.34,5.0,0.0
359800.0,22.0,Male,39.0,10.0,1.0,4.0,Standard,Annual,659.38,28.0,0.0
359801.0,50.0,Male,47.0,22.0,5.0,0.0,Standard,Annual,882.97,28.0,0.0
